id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
596873,Gallinula,chloropus,,Common Moorhen,Jordi Calvet,Spain,"Estany d'Ivars-Vilasana, El Pla d'Urgell, Catalunya",41.681,0.9549,240,"call, sex uncertain",//www.xeno-canto.org/596873,//www.xeno-canto.org/596873/download,XC596873-GALCHL181020-T005 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC596873-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC596873-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC596873-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC596873-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:02,08:30,2020-10-18,2020-10-21,['Ciconia ciconia'],,no,no
596565,Gallinula,chloropus,,Common Moorhen,Tristan Guillebot de Nerville,France,"Favières, Somme, Hauts-de-France",50.2542,1.6867,0,"adult, alarm call, sex uncertain, song",//www.xeno-canto.org/596565,//www.xeno-canto.org/596565/download,XC596565-Gallinule_poule_d'eau_cri_alerte_marais_du_domaine_0h53_08_05_2020_bonne_qualité_for_XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC596565-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC596565-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC596565-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC596565-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:27,00:53,2020-05-08,2020-10-20,[''],,no,no
595365,Gallinula,chloropus,,Common Moorhen,Romuald Mikusek,Poland,"Bieszczady Mts., Gmina Cisna, leski, Podkarpackie Voivodeship",49.2236,22.3134,650,nocturnal flight call,//www.xeno-canto.org/595365,//www.xeno-canto.org/595365/download,XC595365-20200504_230002_Gall.chlor-noctural-0.45h.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC595365-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC595365-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC595365-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC595365-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:06,0:45,2020-05-05,2020-10-15,[''],automatic record - SM4,no,no
595211,Gallinula,chloropus,,Common Moorhen,Krzysztof Deoniziak,Poland,"Akcja Siemianowka Bird Ringing Station (near Siemianowka), Podlaskie Voivodeship",52.9028,23.8749,150,call,//www.xeno-canto.org/595211,//www.xeno-canto.org/595211/download,XC595211-unknown1_siemka1_siemianowka_podlaskie_2020.10.07_1846.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC595211-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC595211-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC595211-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC595211-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:12,18:30,2020-10-07,2020-10-14,['Grus grus'],Recorded with Wildlife Acoustics SM4. Recorded in shrubs between forest and wetland.,no,no
594847,Gallinula,chloropus,,Common Moorhen,Martin Wood,United Kingdom,"Great Britain (near  Wimborne Minster), Dorset, England",50.8024,-1.9836,20,uncertain,//www.xeno-canto.org/594847,//www.xeno-canto.org/594847/download,XC594847-Moorhen call 11th Oct.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC594847-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC594847-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC594847-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC594847-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:12,00:30,2020-10-11,2020-10-12,[''],Think this is a  Common Moorhen Call Gallinula chloropus though just a little unsure.,no,no
594453,Gallinula,chloropus,,Common Moorhen,Eduardo Realinho,Portugal,"Vermiosa, Figueira de Castelo Rodrigo, Guarda",40.8209,-6.8906,650,call,//www.xeno-canto.org/594453,//www.xeno-canto.org/594453/download,XC594453-200918-003_N6_18h30_Gchloropus.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC594453-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC594453-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC594453-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC594453-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:03,18:30,2020-09-18,2020-10-11,[''],Normalized -6db,no,no
593881,Gallinula,chloropus,,Common Moorhen,Martin Wood,United Kingdom,"Great Britain (near  Wimborne Minster), Dorset, England",50.8024,-1.9836,20,nocturnal flight call,//www.xeno-canto.org/593881,//www.xeno-canto.org/593881/download,XC593881-moorhen 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC593881-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC593881-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC593881-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XAWYGQVAJC/ffts/XC593881-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:11,02:30,2020-10-08,2020-10-09,[''],,no,no
593838,Gallinula,chloropus,,Common Moorhen,Martijn Verdoes,Netherlands,"Nijmegen, Nijmegen, Gelderland",51.8346,5.8519,30,nocturnal flight call,//www.xeno-canto.org/593838,//www.xeno-canto.org/593838/download,XC593838-201002_0152_Waterhoen.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC593838-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC593838-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC593838-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MKQYRUJBBI/ffts/XC593838-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:02,01:52,2020-10-02,2020-10-09,[''],,unknown,unknown
593478,Gallinula,chloropus,,Common Moorhen,Nikolay Sariev,United Kingdom,"Wyken Slough Park, Coventry, West Midlands, England",52.4471,-1.4666,90,call,//www.xeno-canto.org/593478,//www.xeno-canto.org/593478/download,"XC593478- (Gallinula chloropus), 2018-04-08, 13.55.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VOXVCHVBIP/ffts/XC593478-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VOXVCHVBIP/ffts/XC593478-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VOXVCHVBIP/ffts/XC593478-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VOXVCHVBIP/ffts/XC593478-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:15,13:55,2018-04-08,2020-10-07,"['Turdus philomelos', 'Cygnus olor']",,no,no
592969,Gallinula,chloropus,,Common Moorhen,Romuald Mikusek,Poland,"Bieszczady Mts., Gmina Baligród (near  Jabłonki), leski, Podkarpackie",49.2569,22.3166,700,nocturnal flight call,//www.xeno-canto.org/592969,//www.xeno-canto.org/592969/download,XC592969-20200426_230002_A.funereus-może_1h.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC592969-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC592969-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC592969-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BLMSIUFTFU/ffts/XC592969-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:06,01:00,2020-04-27,2020-10-05,[''],"Automatic record, ca. 1hr at night.",no,no
