"","name","aci","h","m","ndsi","q","adi","aei","bi"
"x24","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_2_30.wav",154.650739171101,0.834186892148107,0.00879307414997216,0.949861388643682,23.8776810363135,2.040903,0.355604,8.10857938328956
"x25","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_2_45.wav",155.505796059155,0.838529210954421,0.00878648272396481,0.96182687219492,35.5334910999074,2.077911,0.279033,4.95334364373103
"x26","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_3_0.wav",155.545314193309,0.844631642035507,0.00722502016364961,0.930637878334055,29.6544,2.081858,0.286636,4.62462096027003
"x27","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_3_15.wav",157.826321546362,0.835837173865656,0.00838433448644436,0.924966085441374,36.6464683336372,2.09248,0.270154,7.45976915703944
"x28","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_3_30.wav",154.016218742562,0.82599786589147,0.00744489510640592,0.896232564502441,76.5322869955147,2.045237,0.337889,7.7161429337421
"x29","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_3_45.wav",154.664689538785,0.824588684409705,0.00654595473340324,0.928895787909997,23.4537324329256,2.005411,0.379661,13.8271758354732
"x30","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_4_0.wav",157.588111203312,0.814579202881404,0.00578481591706977,0.941437428054808,20.4710280373832,2.04796,0.331651,14.4976595669821
"x31","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_4_15.wav",159.026647830343,0.794613240791546,0.00646774497398147,0.963730615743482,37.1953862285916,2.033801,0.348222,13.127133837233
"x32","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_4_30.wav",154.628520763384,0.851149580418357,0.00412292710340411,0.919808770266988,5.75419018671298,2.045646,0.345039,7.41264059021973
"x33","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_4_45.wav",153.9918017118,0.82451852150855,0.00525960581776291,0.918196960653171,29.8179176755447,1.98094,0.394855,15.0863133023351
