,loss,accuracy,val_loss,val_accuracy
0,0.5317989587783813,0.7628124952316284,0.39602696895599365,0.8199999928474426
1,0.4262865483760834,0.8025000095367432,0.3725973069667816,0.8450000286102295
2,0.3875744640827179,0.8187500238418579,0.3692816495895386,0.8399999737739563
3,0.36545902490615845,0.831250011920929,0.35048922896385193,0.8500000238418579
4,0.35046157240867615,0.842968761920929,0.35308414697647095,0.856249988079071
5,0.3327580392360687,0.8500000238418579,0.36136066913604736,0.8337500095367432
6,0.3240392804145813,0.8485937714576721,0.34041115641593933,0.8650000095367432
7,0.3098483383655548,0.8590624928474426,0.34182870388031006,0.856249988079071
8,0.30380457639694214,0.8629687428474426,0.35328349471092224,0.8537499904632568
9,0.290166974067688,0.8675000071525574,0.3447326421737671,0.8475000262260437
10,0.27936142683029175,0.874218761920929,0.359680712223053,0.8450000286102295
11,0.2695866525173187,0.8824999928474426,0.35883578658103943,0.8512499928474426
12,0.26169174909591675,0.8832812309265137,0.3519524037837982,0.8612499833106995
13,0.25218403339385986,0.8876562714576721,0.3588623106479645,0.8575000166893005
14,0.23875869810581207,0.8928124904632568,0.3661545515060425,0.8475000262260437
15,0.2338581085205078,0.9004687666893005,0.36692583560943604,0.8450000286102295
16,0.22116714715957642,0.901562511920929,0.37154361605644226,0.8537499904632568
17,0.21013584733009338,0.9051562547683716,0.376964271068573,0.8600000143051147
18,0.20354598760604858,0.9125000238418579,0.3787577748298645,0.8550000190734863
19,0.19444485008716583,0.9193750023841858,0.40230926871299744,0.8537499904632568
